txid worth
0x08bb37397bc37f04cd23c3b8fc6f99159b2bede21068a7262d542f3bfbdb9feb 3000000000000000000.000000
0xd52f80abdd0b25b55a7a121ffa2f5bd446c32d6c4dea76320b40defa766ed9dd 2000000000000000000.000000
0xb8e9402da53585482a1583052958eebb5822054decfebc2c069c44e0c78abbe1 2000000000000000000.000000
0x374fd495140144e9f5a4864520ef544450ed78c5a01c4ba8576924bd43a48aea 2000000000000000000.000000
0xb9606510888eda471c72a9d206a3e7c5678192bc1665fa07555608308e78c6f7 2000000000000000000.000000
0x717b1cccafbe40d19513d000d3554beccecc91e1815bfac4488cd026cf422af6 2000000000000000000.000000
0x32366fc06ee621bf085e1f210db23d0bb162fde9494ae1a82a30ff35a35e9155 2000000000000000000.000000
0xc989ad11ae84cb77e9ae73ea911f25f6a4070a2cb334a6c0751a7c4b3c2f42a6 1000000000000000000.000000
0x0b8a7ad1aa21c20cb534a42c1453451924ae2d518a1bd67ffe04041e5896fae2 1000000000000000000.000000
0x320960d8ef6b2b152d1becb3fdf7b1492e19075b14ed9115d235287943a90fb2 1000000000000000000.000000
0x784eca749374b8d0d0eb2753d157ca1c8b29729b237f7dc038683a820c77641b 1000000000000000000.000000
0xd6c9753c5e6e898d0d3c3da73b98fcce9824135b95486fce667eff1b310cf189 1000000000000000000.000000
0xe1e3a2bd9f611484824dc0f4ddf515061e1607979154ec6ba09f34f69235ca77 1000000000000000000.000000
0xcc2900d36d77d21ad72d9fee5bf9e3e074580038cdd4d07f9c15223f55c868bb 1000000000000000000.000000
0x1e27fd14c495f3f3e435a0b6d9f33fee4e7c486360ec4b52b82ec7624671648b 1000000000000000000.000000
0xbe62447780096912907361a6a1db094982e0c9dbe4fc93d9870d13ac3b535e45 1000000000000000000.000000
0x915576974c5aabeedd15e6266281938ac07ac98b3f8414eac1adf2e8f31de1fc 1000000000000000000.000000
0xa4f0fdc129f03e9134d57cc3a24de0ffc8fe16d2ae7e9804566beb9c97862f73 1000000000000000000.000000
0x3ccc84da7f4f2de9ae75b91053903a6ddbb40ebbf1306cb3179085b56ae40932 1000000000000000000.000000
0x1ab587b2ca008b32a4cc185998ff234519b4bf7513f29aedfca6a92fd655e8ba 1000000000000000000.000000
